,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses,date
177,2020,8,1102010,1.1.02.010,Flocos de milho,0.0099,2.67,0.6,,2020-08-01
178,2020,4,1102010,1.1.02.010,Flocos de milho,0.0101,0.15,0.27,,2020-04-01
179,2020,3,1102010,1.1.02.010,Flocos de milho,0.01,1.14,0.12,,2020-03-01
180,2020,8,1102012,1.1.02.012,Farinha de trigo,0.0512,0.25,12.05,,2020-08-01
181,2020,10,1102012,1.1.02.012,Farinha de trigo,0.0518,-1.05,13.02,,2020-10-01
182,2020,1,1102012,1.1.02.012,Farinha de trigo,0.0459,0.3,0.3,,2020-01-01
183,2020,9,1102012,1.1.02.012,Farinha de trigo,0.0512,1.93,14.22,,2020-09-01
184,2020,7,1102012,1.1.02.012,Farinha de trigo,0.0508,1.05,11.77,,2020-07-01
185,2020,11,1102012,1.1.02.012,Farinha de trigo,0.0509,0.7,13.81,,2020-11-01
186,2020,2,1102012,1.1.02.012,Farinha de trigo,0.046,-0.52,-0.22,,2020-02-01
187,2020,12,1102012,1.1.02.012,Farinha de trigo,0.0507,1.01,14.96,14.96,2020-12-01
188,2020,5,1102012,1.1.02.012,Farinha de trigo,0.0487,1.88,8.12,,2020-05-01
189,2020,3,1102012,1.1.02.012,Farinha de trigo,0.0456,1.54,1.31,,2020-03-01
190,2020,4,1102012,1.1.02.012,Farinha de trigo,0.0463,4.76,6.13,,2020-04-01
191,2020,6,1102012,1.1.02.012,Farinha de trigo,0.0499,2.3,10.61,,2020-06-01
192,2020,7,1102023,1.1.02.023,Farinha de mandioca,0.1031,0.05,11.92,,2020-07-01
193,2020,3,1102023,1.1.02.023,Farinha de mandioca,0.0978,1.38,8.03,,2020-03-01
194,2020,1,1102023,1.1.02.023,Farinha de mandioca,0.0923,2.51,2.51,,2020-01-01
195,2020,8,1102023,1.1.02.023,Farinha de mandioca,0.1026,-1.66,10.06,,2020-08-01
196,2020,10,1102023,1.1.02.023,Farinha de mandioca,0.1007,-1.33,9.34,,2020-10-01
197,2020,2,1102023,1.1.02.023,Farinha de mandioca,0.0944,3.95,6.57,,2020-02-01
198,2020,12,1102023,1.1.02.023,Farinha de mandioca,0.0988,0.8,11.52,11.52,2020-12-01
199,2020,6,1102023,1.1.02.023,Farinha de mandioca,0.1016,1.58,11.86,,2020-06-01
200,2020,11,1102023,1.1.02.023,Farinha de mandioca,0.0984,1.19,10.64,,2020-11-01
201,2020,9,1102023,1.1.02.023,Farinha de mandioca,0.1007,0.67,10.81,,2020-09-01
202,2020,4,1102023,1.1.02.023,Farinha de mandioca,0.0991,1.53,9.69,,2020-04-01
203,2020,5,1102023,1.1.02.023,Farinha de mandioca,0.1008,0.4,10.12,,2020-05-01
204,2020,8,1102029,1.1.02.029,Massa semipreparada,0.1189,-0.47,1.79,,2020-08-01
205,2020,3,1102029,1.1.02.029,Massa semipreparada,0.1185,0.57,2.6,,2020-03-01
206,2020,6,1102029,1.1.02.029,Massa semipreparada,0.1207,-0.37,2.84,,2020-06-01
207,2020,11,1102029,1.1.02.029,Massa semipreparada,0.1182,0.52,3.93,,2020-11-01
208,2020,9,1102029,1.1.02.029,Massa semipreparada,0.118,1.77,3.59,,2020-09-01
209,2020,10,1102029,1.1.02.029,Massa semipreparada,0.1194,-0.19,3.4,,2020-10-01
210,2020,4,1102029,1.1.02.029,Massa semipreparada,0.1191,0.59,3.2,,2020-04-01
211,2020,5,1102029,1.1.02.029,Massa semipreparada,0.1202,0.02,3.22,,2020-05-01
212,2020,7,1102029,1.1.02.029,Massa semipreparada,0.1199,-0.56,2.27,,2020-07-01
213,2020,1,1102029,1.1.02.029,Massa semipreparada,0.1166,1.85,1.85,,2020-01-01
214,2020,12,1102029,1.1.02.029,Massa semipreparada,0.1177,3.55,7.62,7.62,2020-12-01
215,2020,2,1102029,1.1.02.029,Massa semipreparada,0.1185,0.17,2.02,,2020-02-01
216,2020,10,1102061,1.1.02.061,Macarrão instantâneo,0.0278,1.63,5.58,,2020-10-01
217,2020,11,1102061,1.1.02.061,Macarrão instantâneo,0.028,0.03,5.61,,2020-11-01
218,2020,3,1102061,1.1.02.061,Macarrão instantâneo,0.0268,0.28,-0.26,,2020-03-01
219,2020,4,1102061,1.1.02.061,Macarrão instantâneo,0.0269,0.74,0.48,,2020-04-01
220,2020,8,1102061,1.1.02.061,Macarrão instantâneo,0.0278,0.53,3.59,,2020-08-01
221,2020,12,1102061,1.1.02.061,Macarrão instantâneo,0.0278,0.75,6.41,6.41,2020-12-01
222,2020,1,1102061,1.1.02.061,Macarrão instantâneo,0.0271,-1.32,-1.32,,2020-01-01
223,2020,9,1102061,1.1.02.061,Macarrão instantâneo,0.0279,0.3,3.89,,2020-09-01
224,2020,2,1102061,1.1.02.061,Macarrão instantâneo,0.0267,0.8,-0.54,,2020-02-01
225,2020,5,1102061,1.1.02.061,Macarrão instantâneo,0.0272,0.56,1.04,,2020-05-01
226,2020,6,1102061,1.1.02.061,Macarrão instantâneo,0.0274,1.62,2.69,,2020-06-01
227,2020,7,1102061,1.1.02.061,Macarrão instantâneo,0.0278,0.35,3.04,,2020-07-01
